Species_Name,n_sources,Sources
Lemur catta,1,Bush_Allman_2004_b_TABLE1
Leontopithecus rosalia,1,Bauernfeind_etal_2013_Table1
Lepilemur ruficaudatus,5,deSousa_etal_2010_Table1; Frahm_etal_1984_Table1; Sherwood_etal_2005_Table1; Stephan_etal_1970_Tables1-6; Stephan_etal_1981_TablesI-VI
Lophocebus albigena,7,Bauernfeind_etal_2013_Table1; deSousa_etal_2010_Table1; Frahm_etal_1984_Table1; MacLeod_etal_2003_Table2; Sherwood_etal_2005_Table1; Stephan_etal_1970_Tables1-6; Stephan_etal_1981_TablesI-VI
Loris tardigradus,6,Bauernfeind_etal_2013_Table1; deSousa_etal_2010_Table1; Frahm_etal_1984_Table1; Sherwood_etal_2005_Table1; Stephan_etal_1970_Tables1-6; Stephan_etal_1981_TablesI-VI
Macaca maura,1,Bauernfeind_etal_2013_Table1
Macaca mulatta,10,Bush_Allman_2004_b_TABLE1; deSousa_etal_2010_Table1; Frahm_etal_1984_Table1; MacLeod_etal_2003_; MacLeod_etal_2003_Table2; Rilling_Insel_1998_Table1; Rilling_Insel_1999_Table1; Sherwood_etal_2005_Table1; Stephan_etal_1970_Tables1-6; Stephan_etal_1981_TablesI-VI
Microcebus murinus,6,Bush_Allman_2004_b_TABLE1; deSousa_etal_2010_Table1; Frahm_etal_1984_Table1; Sherwood_etal_2005_Table1; Stephan_etal_1970_Tables1-6; Stephan_etal_1981_TablesI-VI
Microgale cowani,1,Stephan_etal_1981_TablesI-VI
Microgale mergulus,2,Stephan_etal_1970_Tables1-6; Stephan_etal_1981_TablesI-VI
Micropotamogale lamottei,1,Stephan_etal_1981_TablesI-VI
Miopithecus talapoin,5,deSousa_etal_2010_Table1; Frahm_etal_1984_Table1; Sherwood_etal_2005_Table1; Stephan_etal_1970_Tables1-6; Stephan_etal_1981_TablesI-VI
Nasalis larvatus,2,Sherwood_etal_2005_Table1; Stephan_etal_1981_TablesI-VI
Neomys fodiens,2,Stephan_etal_1970_Tables1-6; Stephan_etal_1981_TablesI-VI
Nesogale dobsoni,1,Stephan_etal_1981_TablesI-VI
Nesogale talazaci,2,Stephan_etal_1970_Tables1-6; Stephan_etal_1981_TablesI-VI
Nomascus concolor,1,Barger_etal_2014_Table1
Nycticebus coucang,6,Bush_Allman_2004_b_TABLE1; deSousa_etal_2010_Table1; Frahm_etal_1984_Table1; Sherwood_etal_2005_Table1; Stephan_etal_1970_Tables1-6; Stephan_etal_1981_TablesI-VI
Oryzorictes hova,1,Stephan_etal_1981_TablesI-VI
Otolemur crassicaudatus,6,Bush_Allman_2004_b_TABLE1; deSousa_etal_2010_Table1; Frahm_etal_1984_Table1; Sherwood_etal_2005_Table1; Stephan_etal_1970_Tables1-6; Stephan_etal_1981_TablesI-VI
Pan paniscus,12,Barger_etal_2007_TABLE1; Barger_etal_2014_Table1; Bauernfeind_etal_2013_Table1; Bauernfeind_etal_2013_Table2; deSousa_etal_2010_Table1; MacLeod_etal_2003_; MacLeod_etal_2003_Table2; Rilling_Insel_1998_Table1; Rilling_Insel_1999_Table1; Sherwood_etal_2005_Table1; Stimpson_etal_2015_TableS1; Stimpson_etal_2015_TableS2
Pan troglodytes,17,Barger_etal_2007_TABLE1; Barger_etal_2014_Table1; Bauernfeind_etal_2013_Table1; Bauernfeind_etal_2013_Table2; Bush_Allman_2004_b_TABLE1; deSousa_etal_2010_Table1; Frahm_etal_1984_Table1; MacLeod_etal_2003_; MacLeod_etal_2003_Table2; Rilling_Insel_1998_Table1; Rilling_Insel_1999_Table1; Sherwood_etal_2004_TABLEI; Sherwood_etal_2005_Table1; Stephan_etal_1970_Tables1-6; Stephan_etal_1981_TablesI-VI; Stimpson_etal_2015_TableS1; Stimpson_etal_2015_TableS2
Papio anubis,4,deSousa_etal_2010_Table1; Frahm_etal_1984_Table1; Sherwood_etal_2005_Table1; Stephan_etal_1981_TablesI-VI
Papio cynocephalus,4,MacLeod_etal_2003_; MacLeod_etal_2003_Table2; Rilling_Insel_1998_Table1; Rilling_Insel_1999_Table1
Papio hamadryas,1,Bush_Allman_2004_b_TABLE1
Perodicticus potto,7,Bauernfeind_etal_2013_Table1; Bush_Allman_2004_b_TABLE1; deSousa_etal_2010_Table1; Frahm_etal_1984_Table1; Sherwood_etal_2005_Table1; Stephan_etal_1970_Tables1-6; Stephan_etal_1981_TablesI-VI
Piliocolobus badius,6,Bauernfeind_etal_2013_Table1; deSousa_etal_2010_Table1; Frahm_etal_1984_Table1; Sherwood_etal_2005_Table1; Stephan_etal_1970_Tables1-6; Stephan_etal_1981_TablesI-VI
Pithecia monachus,5,deSousa_etal_2010_Table1; Frahm_etal_1984_Table1; Sherwood_etal_2005_Table1; Stephan_etal_1970_Tables1-6; Stephan_etal_1981_TablesI-VI
Pithecia pithecia,1,Bauernfeind_etal_2013_Table1
Pongo pygmaeus,2,Barger_etal_2014_Table1; MacLeod_etal_2003_
Pongo sp.,10,Barger_etal_2007_TABLE1; Bauernfeind_etal_2013_Table1; Bauernfeind_etal_2013_Table2; deSousa_etal_2010_Table1; MacLeod_etal_2003_Table2; Rilling_Insel_1998_Table1; Rilling_Insel_1999_Table1; Sherwood_etal_2004_TABLEI; Sherwood_etal_2005_Table1; Zilles_Rehkämper_1988_Table12-2
Potamogale velox,2,Stephan_etal_1970_Tables1-6; Stephan_etal_1981_TablesI-VI
Prolemur simus,1,Stephan_etal_1970_Tables1-6
Propithecus verreauxi,5,deSousa_etal_2010_Table1; Frahm_etal_1984_Table1; Sherwood_etal_2005_Table1; Stephan_etal_1970_Tables1-6; Stephan_etal_1981_TablesI-VI
Pygathrix nemaeus,2,Sherwood_etal_2005_Table1; Stephan_etal_1981_TablesI-VI
Rhynchocyon cirnei,1,Stephan_etal_1981_TablesI-VI
Rhynchocyon stuhlmanni,1,Stephan_etal_1970_Tables1-6
Saguinus geoffroyi,1,Bauernfeind_etal_2013_Table1
Saguinus midas,5,deSousa_etal_2010_Table1; Frahm_etal_1984_Table1; Sherwood_etal_2005_Table1; Stephan_etal_1970_Tables1-6; Stephan_etal_1981_TablesI-VI
Saguinus oedipus,6,Bauernfeind_etal_2013_Table1; deSousa_etal_2010_Table1; Frahm_etal_1984_Table1; Sherwood_etal_2005_Table1; Stephan_etal_1970_Tables1-6; Stephan_etal_1981_TablesI-VI
Saimiri sciureus,10,Bush_Allman_2004_b_TABLE1; deSousa_etal_2010_Table1; Frahm_etal_1984_Table1; MacLeod_etal_2003_; MacLeod_etal_2003_Table2; Rilling_Insel_1998_Table1; Rilling_Insel_1999_Table1; Sherwood_etal_2005_Table1; Stephan_etal_1970_Tables1-6; Stephan_etal_1981_TablesI-VI
Sapajus apella,3,MacLeod_etal_2003_; Rilling_Insel_1998_Table1; Rilling_Insel_1999_Table1
Semnopithecus entellus,1,Bush_Allman_2004_b_TABLE1
Setifer setosus,2,Stephan_etal_1970_Tables1-6; Stephan_etal_1981_TablesI-VI
Solenodon paradoxus,2,Stephan_etal_1970_Tables1-6; Stephan_etal_1981_TablesI-VI
Sorex araneus,2,Stephan_etal_1970_Tables1-6; Stephan_etal_1981_TablesI-VI
Sorex minutus,2,Stephan_etal_1970_Tables1-6; Stephan_etal_1981_TablesI-VI
Suncus murinus,2,Stephan_etal_1970_Tables1-6; Stephan_etal_1981_TablesI-VI
Symphalangus syndactylus,1,Bauernfeind_etal_2013_Table1
Talpa europaea,2,Stephan_etal_1970_Tables1-6; Stephan_etal_1981_TablesI-VI
Tarsius sp.,4,deSousa_etal_2010_Table1; Frahm_etal_1984_Table1; Sherwood_etal_2005_Table1; Stephan_etal_1981_TablesI-VI
Tenrec ecaudatus,2,Stephan_etal_1970_Tables1-6; Stephan_etal_1981_TablesI-VI
Trachypithecus francoisi,1,Bauernfeind_etal_2013_Table1
Tupaia glis,3,Frahm_etal_1984_Table1; Stephan_etal_1970_Tables1-6; Stephan_etal_1981_TablesI-VI
Tupaia minor,2,Frahm_etal_1984_Table1; Stephan_etal_1981_TablesI-VI
Urogale everetti,3,Frahm_etal_1984_Table1; Stephan_etal_1970_Tables1-6; Stephan_etal_1981_TablesI-VI
Varecia variegata,6,Bauernfeind_etal_2013_Table1; deSousa_etal_2010_Table1; Frahm_etal_1984_Table1; Sherwood_etal_2005_Table1; Stephan_etal_1970_Tables1-6; Stephan_etal_1981_TablesI-VI
