Source,Species_raw,curated,NCBI_id,NCBI_name,Species_final,name_source
Ashwell__2020_SupplementaryTable,Elephantulus myurus,NA,113277,Elephantulus myurus,Elephantulus myurus,NCBI
Ashwell__2020_SupplementaryTable,Equus quagga burchellii,Equus burchelli,89252,Equus quagga burchellii,Equus burchelli,curated
Ashwell__2020_SupplementaryTable,Erinaceus europaeus,NA,9365,Erinaceus europaeus,Erinaceus europaeus,NCBI
Ashwell__2020_SupplementaryTable,Erithizon dorsatum,Erethizon dorsatum,NA,NA,Erethizon dorsatum,curated
Ashwell__2020_SupplementaryTable,Eulemur mongoz,NA,34828,Eulemur mongoz,Eulemur mongoz,NCBI
Ashwell__2020_SupplementaryTable,Felis cattus,Felis catus,NA,NA,Felis catus,curated
Ashwell__2020_SupplementaryTable,Galictis vittata,Galictis vittatus,204265,Galictis vittata,Galictis vittatus,curated
Ashwell__2020_SupplementaryTable,Gymnobelideus leadbeateri,NA,38618,Gymnobelideus leadbeateri,Gymnobelideus leadbeateri,NCBI
Ashwell__2020_SupplementaryTable,Hemibelideus lemuroides,NA,596256,Hemibelideus lemuroides,Hemibelideus lemuroides,NCBI
Ashwell__2020_SupplementaryTable,Hypsiprymnodon moschatus,NA,65631,Hypsiprymnodon moschatus,Hypsiprymnodon moschatus,NCBI
Ashwell__2020_SupplementaryTable,Isoodon macrourus,NA,37698,Isoodon macrourus,Isoodon macrourus,NCBI
Ashwell__2020_SupplementaryTable,Isoodon obesulus,NA,65612,Isoodon obesulus,Isoodon obesulus,NCBI
Ashwell__2020_SupplementaryTable,Lagorchestes conspicillatus,NA,65624,Lagorchestes conspicillatus,Lagorchestes conspicillatus,NCBI
Ashwell__2020_SupplementaryTable,Lama glama,NA,9844,Lama glama,Lama glama,NCBI
Ashwell__2020_SupplementaryTable,Lasiorhinus latifrons,NA,30668,Lasiorhinus latifrons,Lasiorhinus latifrons,NCBI
Ashwell__2020_SupplementaryTable,Macropus agilis,NA,9313,Notamacropus agilis,Notamacropus agilis,NCBI
Ashwell__2020_SupplementaryTable,Macropus antilopinus,NA,9314,Osphranter antilopinus,Osphranter antilopinus,NCBI
Ashwell__2020_SupplementaryTable,Macropus bernardus,NA,9323,Osphranter bernardus,Osphranter bernardus,NCBI
Ashwell__2020_SupplementaryTable,Macropus dorsalis,NA,651581,Notamacropus dorsalis,Notamacropus dorsalis,NCBI
Ashwell__2020_SupplementaryTable,Macropus eugenii,NA,9315,Notamacropus eugenii,Notamacropus eugenii,NCBI
Ashwell__2020_SupplementaryTable,Macropus irma,NA,196387,Notamacropus irma,Notamacropus irma,NCBI
Ashwell__2020_SupplementaryTable,Macropus parma,Notamacropus parma,413582,Notamacropus parma,Notamacropus parma,curated
Ashwell__2020_SupplementaryTable,Macropus parryi,NA,NA,NA,Macropus parryi,unresolved_raw
Ashwell__2020_SupplementaryTable,Macropus rufus,Osphranter rufus,9321,Osphranter rufus,Osphranter rufus,curated
Ashwell__2020_SupplementaryTable,Mandrillus sphinx,NA,9561,Mandrillus sphinx,Mandrillus sphinx,NCBI
Ashwell__2020_SupplementaryTable,Marmosa impavida,NA,NA,NA,Marmosa impavida,unresolved_raw
Ashwell__2020_SupplementaryTable,Monodelphis brevicaudata,NA,203680,Monodelphis brevicaudata,Monodelphis brevicaudata,NCBI
Ashwell__2020_SupplementaryTable,Mustela erminea,NA,36723,Mustela erminea,Mustela erminea,NCBI
Ashwell__2020_SupplementaryTable,Mustela putorius,NA,9668,Mustela putorius,Mustela putorius,NCBI
Ashwell__2020_SupplementaryTable,Myrmecophagia tridactyla,Myrmecophaga tridactyla,NA,NA,Myrmecophaga tridactyla,curated
Ashwell__2020_SupplementaryTable,Nasua narica,NA,352831,Nasua narica,Nasua narica,NCBI
Ashwell__2020_SupplementaryTable,Neovison vison,Mustela vison,452646,Neogale vison,Mustela vison,curated
Ashwell__2020_SupplementaryTable,Odocoileus virginianus,NA,9874,Odocoileus virginianus,Odocoileus virginianus,NCBI
Ashwell__2020_SupplementaryTable,Onychogalea fraenata,NA,114227,Onychogalea fraenata,Onychogalea fraenata,NCBI
Ashwell__2020_SupplementaryTable,Onychogalea unguifera,NA,65626,Onychogalea unguifera,Onychogalea unguifera,NCBI
Ashwell__2020_SupplementaryTable,Ornithorhynchus anatinus,NA,9258,Ornithorhynchus anatinus,Ornithorhynchus anatinus,NCBI
Ashwell__2020_SupplementaryTable,Oryctolagus cuniculus,NA,9986,Oryctolagus cuniculus,Oryctolagus cuniculus,NCBI
Ashwell__2020_SupplementaryTable,Pan troglodytes,NA,9598,Pan troglodytes,Pan troglodytes,NCBI
Ashwell__2020_SupplementaryTable,Panthera leo,NA,9689,Panthera leo,Panthera leo,NCBI
Ashwell__2020_SupplementaryTable,Pecaru tacaju,Tayassu tajacu,NA,NA,Tayassu tajacu,curated
Ashwell__2020_SupplementaryTable,Perameles gunnii,NA,37737,Perameles gunnii,Perameles gunnii,NCBI
Ashwell__2020_SupplementaryTable,Perameles nasuta,NA,9344,Perameles nasuta,Perameles nasuta,NCBI
Ashwell__2020_SupplementaryTable,Perodicticus potto,NA,9472,Perodicticus potto,Perodicticus potto,NCBI
Ashwell__2020_SupplementaryTable,Petaurus australis,NA,282342,Petaurus australis,Petaurus australis,NCBI
Ashwell__2020_SupplementaryTable,Petaurus norfolcensis,NA,122272,Petaurus norfolcensis,Petaurus norfolcensis,NCBI
Ashwell__2020_SupplementaryTable,Petrogale brachyotis,NA,54079,Petrogale brachyotis,Petrogale brachyotis,NCBI
Ashwell__2020_SupplementaryTable,Petrogale concinna,NA,859894,Petrogale concinna,Petrogale concinna,NCBI
Ashwell__2020_SupplementaryTable,Petrogale godmani,NA,54082,Petrogale godmani,Petrogale godmani,NCBI
Ashwell__2020_SupplementaryTable,Petrogale herberti,NA,54083,Petrogale herberti,Petrogale herberti,NCBI
Ashwell__2020_SupplementaryTable,Petrogale inornata,NA,54084,Petrogale inornata,Petrogale inornata,NCBI
Ashwell__2020_SupplementaryTable,Petrogale lateralis,NA,54085,Petrogale lateralis,Petrogale lateralis,NCBI
Ashwell__2020_SupplementaryTable,Petrogale penicillata,NA,54088,Petrogale penicillata,Petrogale penicillata,NCBI
Ashwell__2020_SupplementaryTable,Petrogale puella (assimilis),NA,NA,NA,Petrogale puella (assimilis),unresolved_raw
Ashwell__2020_SupplementaryTable,Petrogale purpureicollis,NA,175627,Petrogale purpureicollis,Petrogale purpureicollis,NCBI
Ashwell__2020_SupplementaryTable,Petropseudes dahli,NA,596258,Petropseudes dahli,Petropseudes dahli,NCBI
Ashwell__2020_SupplementaryTable,Phalanger gymnotis,NA,65615,Phalanger gymnotis,Phalanger gymnotis,NCBI
Ashwell__2020_SupplementaryTable,Phalanger maculatus,NA,88213,Phalanger maculatus,Phalanger maculatus,NCBI
Ashwell__2020_SupplementaryTable,Phalanger vestitus,NA,175809,Phalanger vestitus,Phalanger vestitus,NCBI
Ashwell__2020_SupplementaryTable,Phascogale tapoatafa,NA,9293,Phascogale tapoatafa,Phascogale tapoatafa,NCBI
Ashwell__2020_SupplementaryTable,Phascolarctos cinereus,NA,38626,Phascolarctos cinereus,Phascolarctos cinereus,NCBI
Ashwell__2020_SupplementaryTable,Phoca vitulina,NA,9720,Phoca vitulina,Phoca vitulina,NCBI
Ashwell__2020_SupplementaryTable,Planigale maculata,NA,9297,Planigale maculata,Planigale maculata,NCBI
Ashwell__2020_SupplementaryTable,Potorous tridactylus,NA,9310,Potorous tridactylus,Potorous tridactylus,NCBI
Ashwell__2020_SupplementaryTable,Procavia capensis,NA,9813,Procavia capensis,Procavia capensis,NCBI
Ashwell__2020_SupplementaryTable,Pseudantechinus bilarni,NA,479705,Pseudantechinus bilarni,Pseudantechinus bilarni,NCBI
Ashwell__2020_SupplementaryTable,Pseudocheirus canescens,NA,NA,NA,Pseudocheirus canescens,unresolved_raw
Ashwell__2020_SupplementaryTable,Pseudocheirus cinereus,NA,NA,NA,Pseudocheirus cinereus,unresolved_raw
Ashwell__2020_SupplementaryTable,Pseudocheirus forbesi,NA,65616,Pseudochirulus forbesi,Pseudochirulus forbesi,NCBI
Ashwell__2020_SupplementaryTable,Pseudocheirus peregrinus,NA,9333,Pseudocheirus peregrinus,Pseudocheirus peregrinus,NCBI
Ashwell__2020_SupplementaryTable,Pseudochirops archeri,NA,38621,Pseudochirops archeri,Pseudochirops archeri,NCBI
Ashwell__2020_SupplementaryTable,Pseudochirops cupreus,NA,37702,Pseudochirops cupreus,Pseudochirops cupreus,NCBI
Ashwell__2020_SupplementaryTable,Pseudochirulus herbertensis,NA,596260,Pseudochirulus herbertensis,Pseudochirulus herbertensis,NCBI
Ashwell__2020_SupplementaryTable,Pteropus giganteus,NA,143291,Pteropus giganteus,Pteropus giganteus,NCBI
Ashwell__2020_SupplementaryTable,Rhyncholestes raphanurus,NA,33559,Rhyncholestes raphanurus,Rhyncholestes raphanurus,NCBI
Ashwell__2020_SupplementaryTable,Saimiri sciureus,NA,9521,Saimiri sciureus,Saimiri sciureus,NCBI
Ashwell__2020_SupplementaryTable,Sarcophilus harissii,Sarcophilus harrisii,NA,NA,Sarcophilus harrisii,curated
Ashwell__2020_SupplementaryTable,Scalopus aquaticus,NA,71119,Scalopus aquaticus,Scalopus aquaticus,NCBI
Ashwell__2020_SupplementaryTable,Sciurus carolinensis,NA,30640,Sciurus carolinensis,Sciurus carolinensis,NCBI
Ashwell__2020_SupplementaryTable,Semnopithecus entellus,NA,88029,Semnopithecus entellus,Semnopithecus entellus,NCBI
Ashwell__2020_SupplementaryTable,Sminthopsis crassicaudata,NA,9301,Sminthopsis crassicaudata,Sminthopsis crassicaudata,NCBI
Ashwell__2020_SupplementaryTable,Sminthopsis leucopus,NA,90761,Sminthopsis leucopus,Sminthopsis leucopus,NCBI
Ashwell__2020_SupplementaryTable,Sminthopsis murina,NA,32560,Sminthopsis murina,Sminthopsis murina,NCBI
Ashwell__2020_SupplementaryTable,Sorex araneus,NA,42254,Sorex araneus,Sorex araneus,NCBI
Ashwell__2020_SupplementaryTable,Sus scrofa domesticus,NA,9825,Sus scrofa domesticus,Sus scrofa domesticus,NCBI
Ashwell__2020_SupplementaryTable,Tachyglossus aculeatus,NA,9261,Tachyglossus aculeatus,Tachyglossus aculeatus,NCBI
Ashwell__2020_SupplementaryTable,Tamandua tetradactyla,NA,48850,Tamandua tetradactyla,Tamandua tetradactyla,NCBI
Ashwell__2020_SupplementaryTable,Tarsipes rostratus,NA,38632,Tarsipes rostratus,Tarsipes rostratus,NCBI
Ashwell__2020_SupplementaryTable,Taxidea taxus,NA,30554,Taxidea taxus,Taxidea taxus,NCBI
Ashwell__2020_SupplementaryTable,Tenrec ecaudatus,NA,94439,Tenrec ecaudatus,Tenrec ecaudatus,NCBI
Ashwell__2020_SupplementaryTable,Thomomys talpoides,NA,35660,Thomomys talpoides,Thomomys talpoides,NCBI
Ashwell__2020_SupplementaryTable,Thylamys elegans,NA,191871,Thylamys elegans,Thylamys elegans,NCBI
Ashwell__2020_SupplementaryTable,Thylogale stigmatica,NA,9328,Thylogale stigmatica,Thylogale stigmatica,NCBI
Ashwell__2020_SupplementaryTable,Thylogale thetis,NA,442964,Thylogale thetis,Thylogale thetis,NCBI
Ashwell__2020_SupplementaryTable,Trichechus manatus latirostris,NA,127582,Trichechus manatus latirostris,Trichechus manatus latirostris,NCBI
Ashwell__2020_SupplementaryTable,Trichosurus arnhemensis,NA,175811,Trichosurus arnhemensis,Trichosurus arnhemensis,NCBI
Ashwell__2020_SupplementaryTable,Trichosurus caninus,NA,128432,Trichosurus caninus,Trichosurus caninus,NCBI
Ashwell__2020_SupplementaryTable,Tupaia glis,NA,9395,Tupaia glis,Tupaia glis,NCBI
Ashwell__2020_SupplementaryTable,Tursiops truncatus,NA,9739,Tursiops truncatus,Tursiops truncatus,NCBI
Ashwell__2020_SupplementaryTable,Ursus maritimus,NA,29073,Ursus maritimus,Ursus maritimus,NCBI
Ashwell__2020_SupplementaryTable,Vombatus ursinus,NA,29139,Vombatus ursinus,Vombatus ursinus,NCBI
Ashwell__2020_SupplementaryTable,Wallabia bicolor,NA,9330,Wallabia bicolor,Wallabia bicolor,NCBI
Ashwell__2020_SupplementaryTable,Zaglossus bruijnii,NA,NA,NA,Zaglossus bruijnii,unresolved_raw
Ashwell__2020_SupplementaryTable,Zalophus californianus,NA,9704,Zalophus californianus,Zalophus californianus,NCBI
Barger_etal_2007_TABLE1,Gorilla gorilla,Gorilla sp.,9593,Gorilla gorilla,Gorilla sp.,curated
Barger_etal_2007_TABLE1,Homo sapiens,NA,9606,Homo sapiens,Homo sapiens,NCBI
Barger_etal_2007_TABLE1,Hylobates lar,NA,9580,Hylobates lar,Hylobates lar,NCBI
Barger_etal_2007_TABLE1,Pan paniscus,NA,9597,Pan paniscus,Pan paniscus,NCBI
Barger_etal_2007_TABLE1,Pan troglodytes,NA,9598,Pan troglodytes,Pan troglodytes,NCBI
Barger_etal_2007_TABLE1,Pongo pygmaeus,Pongo sp.,9600,Pongo pygmaeus,Pongo sp.,curated
Barks_etal_2014_Fig4A,Gorilla beringei,Gorilla sp.,499232,Gorilla beringei,Gorilla sp.,curated
Barks_etal_2014_Fig4A,Gorilla gorilla,Gorilla sp.,9593,Gorilla gorilla,Gorilla sp.,curated
Barks_etal_2014_TABLE1,Gorilla beringei,Gorilla sp.,499232,Gorilla beringei,Gorilla sp.,curated
Barks_etal_2014_TABLE1,Gorilla gorilla,Gorilla sp.,9593,Gorilla gorilla,Gorilla sp.,curated
Baron_etal_1983_Table1,Alouatta spp.,Alouatta seniculus,NA,NA,Alouatta seniculus,curated
Baron_etal_1983_Table1,Aotus trivirgatus,NA,9505,Aotus trivirgatus,Aotus trivirgatus,NCBI
Baron_etal_1983_Table1,Ateles geoffroyi,NA,9509,Ateles geoffroyi,Ateles geoffroyi,NCBI
Baron_etal_1983_Table1,Avahi laniger laniger,Avahi laniger,NA,NA,Avahi laniger,curated
Baron_etal_1983_Table1,Avahi laniger occidentalis,NA,NA,NA,Avahi laniger occidentalis,unresolved_raw
Baron_etal_1983_Table1,Callicebus moloch,NA,9523,Plecturocebus moloch,Plecturocebus moloch,NCBI
Baron_etal_1983_Table1,Callimico goeldii,NA,9495,Callimico goeldii,Callimico goeldii,NCBI
Baron_etal_1983_Table1,Callithrix jacchus,NA,9483,Callithrix jacchus,Callithrix jacchus,NCBI
Baron_etal_1983_Table1,Cebuella pygmaea,Callithrix pygmaea,9493,Cebuella pygmaea,Callithrix pygmaea,curated
Baron_etal_1983_Table1,Cebus spp.,Cebus albifrons,NA,NA,Cebus albifrons,curated
Baron_etal_1983_Table1,Cercocebus albigena,Lophocebus albigena,75567,Lophocebus albigena,Lophocebus albigena,curated
Baron_etal_1983_Table1,Cercopithecus ascanius,NA,36223,Cercopithecus ascanius,Cercopithecus ascanius,NCBI
Baron_etal_1983_Table1,Cercopithecus mitis,NA,36225,Cercopithecus mitis,Cercopithecus mitis,NCBI
Baron_etal_1983_Table1,Cheirogaleus major,NA,47177,Cheirogaleus major,Cheirogaleus major,NCBI
Baron_etal_1983_Table1,Cheirogaleus medius,NA,9460,Cheirogaleus medius,Cheirogaleus medius,NCBI
Baron_etal_1983_Table1,Chrysochloris asiatica,NA,185453,Chrysochloris asiatica,Chrysochloris asiatica,NCBI
Baron_etal_1983_Table1,Chrysochloris stuhlmanni,NA,185454,Chrysochloris stuhlmanni,Chrysochloris stuhlmanni,NCBI
Baron_etal_1983_Table1,Colobus badius,Piliocolobus badius,164648,Piliocolobus badius,Piliocolobus badius,curated
Baron_etal_1983_Table1,Crocidura flavescens,NA,214442,Crocidura flavescens,Crocidura flavescens,NCBI
Baron_etal_1983_Table1,Crocidura russula,NA,36802,Crocidura russula,Crocidura russula,NCBI
Baron_etal_1983_Table1,Daubentonia madagascariensis,NA,31869,Daubentonia madagascariensis,Daubentonia madagascariensis,NCBI
Baron_etal_1983_Table1,Desmana moschata,NA,182682,Desmana moschata,Desmana moschata,NCBI
Baron_etal_1983_Table1,Echinops telfairi,NA,9371,Echinops telfairi,Echinops telfairi,NCBI
Baron_etal_1983_Table1,Elephantulus fuscipes,NA,483426,Elephantulus fuscipes,Elephantulus fuscipes,NCBI
Baron_etal_1983_Table1,Erinaceus algirus,Atelerix algirus,30576,Atelerix algirus,Atelerix algirus,curated
Baron_etal_1983_Table1,Erinaceus europaeus,NA,9365,Erinaceus europaeus,Erinaceus europaeus,NCBI
Baron_etal_1983_Table1,Erythrocebus patas,NA,9538,Erythrocebus patas,Erythrocebus patas,NCBI
Baron_etal_1983_Table1,Galago senegalensis,NA,9465,Galago senegalensis,Galago senegalensis,NCBI
Baron_etal_1983_Table1,Galagoides demidoff,NA,89672,Galagoides demidoff,Galagoides demidoff,NCBI
Baron_etal_1983_Table1,Galemys pyrenaicus,NA,202257,Galemys pyrenaicus,Galemys pyrenaicus,NCBI
Baron_etal_1983_Table1,Gorilla gorilla,Gorilla sp.,9593,Gorilla gorilla,Gorilla sp.,curated
Baron_etal_1983_Table1,Hemicentetes semispinosus,NA,319813,Hemicentetes semispinosus,Hemicentetes semispinosus,NCBI
Baron_etal_1983_Table1,Hemiechinus auritus,NA,217708,Hemiechinus auritus,Hemiechinus auritus,NCBI
Baron_etal_1983_Table1,Homo sapiens,NA,9606,Homo sapiens,Homo sapiens,NCBI
Baron_etal_1983_Table1,Hylobates lar,NA,9580,Hylobates lar,Hylobates lar,NCBI
Baron_etal_1983_Table1,Indri indri,NA,34827,Indri indri,Indri indri,NCBI
Baron_etal_1983_Table1,Lagothrix lagothricha,NA,NA,NA,Lagothrix lagothricha,unresolved_raw
Baron_etal_1983_Table1,Lemur albifrons,Eulemur fulvus,1215604,Eulemur albifrons,Eulemur fulvus,curated
Baron_etal_1983_Table1,Lepilemur ruficaudatus,NA,78866,Lepilemur ruficaudatus,Lepilemur ruficaudatus,NCBI
Baron_etal_1983_Table1,Limnogale mergulus,Microgale mergulus,319815,Limnogale mergulus,Microgale mergulus,curated
Baron_etal_1983_Table1,Loris tardigradus,NA,9468,Loris tardigradus,Loris tardigradus,NCBI
Baron_etal_1983_Table1,Macaca mulatta,NA,9544,Macaca mulatta,Macaca mulatta,NCBI
Baron_etal_1983_Table1,Microcebus murinus,NA,30608,Microcebus murinus,Microcebus murinus,NCBI
Baron_etal_1983_Table1,Microgale cowani,NA,329863,Microgale cowani,Microgale cowani,NCBI
Baron_etal_1983_Table1,Microgale dobsoni,Nesogale dobsoni,2583311,Nesogale dobsoni,Nesogale dobsoni,curated
Baron_etal_1983_Table1,Microgale talazaci,Nesogale talazaci,2583312,Nesogale talazaci,Nesogale talazaci,curated
Baron_etal_1983_Table1,Micropotamogale lamottei,NA,105689,Micropotamogale lamottei,Micropotamogale lamottei,NCBI
Baron_etal_1983_Table1,Miopithecus talapoin,NA,36231,Miopithecus talapoin,Miopithecus talapoin,NCBI
Baron_etal_1983_Table1,Nasalis larvatus,NA,43780,Nasalis larvatus,Nasalis larvatus,NCBI
Baron_etal_1983_Table1,Neomys fodiens,NA,62282,Neomys fodiens,Neomys fodiens,NCBI
Baron_etal_1983_Table1,Nycticebus coucang,NA,9470,Nycticebus coucang,Nycticebus coucang,NCBI
Baron_etal_1983_Table1,Oryzorictes talpoides,NA,319817,Oryzorictes hova,Oryzorictes hova,NCBI
Baron_etal_1983_Table1,Otolemur crassicaudatus,NA,9463,Otolemur crassicaudatus,Otolemur crassicaudatus,NCBI
Baron_etal_1983_Table1,Pan troglodytes,NA,9598,Pan troglodytes,Pan troglodytes,NCBI
Baron_etal_1983_Table1,Papio anubis,NA,9555,Papio anubis,Papio anubis,NCBI
Baron_etal_1983_Table1,Perodicticus potto,NA,9472,Perodicticus potto,Perodicticus potto,NCBI
Baron_etal_1983_Table1,Pithecia monachus,NA,595220,Pithecia monachus,Pithecia monachus,NCBI
Baron_etal_1983_Table1,Potamogale velox,NA,176119,Potamogale velox,Potamogale velox,NCBI
Baron_etal_1983_Table1,Propithecus verreauxi,NA,34825,Propithecus verreauxi,Propithecus verreauxi,NCBI
Baron_etal_1983_Table1,Pygathrix nemaeus,NA,54133,Pygathrix nemaeus,Pygathrix nemaeus,NCBI
Baron_etal_1983_Table1,Rhynchocyon cirnei,NA,473867,Rhynchocyon cirnei,Rhynchocyon cirnei,NCBI
Baron_etal_1983_Table1,Saguinus midas,NA,30586,Saguinus midas,Saguinus midas,NCBI
Baron_etal_1983_Table1,Saguinus oedipus,NA,9490,Saguinus oedipus,Saguinus oedipus,NCBI
Baron_etal_1983_Table1,Saimiri sciureus,NA,9521,Saimiri sciureus,Saimiri sciureus,NCBI
Baron_etal_1983_Table1,Setifer setosus,NA,319819,Setifer setosus,Setifer setosus,NCBI
Baron_etal_1983_Table1,Solenodon paradoxus,NA,79805,Solenodon paradoxus,Solenodon paradoxus,NCBI
Baron_etal_1983_Table1,Sorex araneus,NA,42254,Sorex araneus,Sorex araneus,NCBI
Baron_etal_1983_Table1,Sorex minutus,NA,62280,Sorex minutus,Sorex minutus,NCBI
Baron_etal_1983_Table1,Suncus murinus,NA,9378,Suncus murinus,Suncus murinus,NCBI
Baron_etal_1983_Table1,Talpa europaea,NA,9375,Talpa europaea,Talpa europaea,NCBI
Baron_etal_1983_Table1,Tarsius spp.,Tarsius sp.,NA,NA,Tarsius sp.,curated
Baron_etal_1983_Table1,Tenrec ecaudatus,NA,94439,Tenrec ecaudatus,Tenrec ecaudatus,NCBI
Baron_etal_1983_Table1,Tupaia glis,NA,9395,Tupaia glis,Tupaia glis,NCBI
Baron_etal_1983_Table1,Tupaia minor,NA,143289,Tupaia minor,Tupaia minor,NCBI
Baron_etal_1983_Table1,Urogale everetti,NA,192726,Urogale everetti,Urogale everetti,NCBI
Baron_etal_1983_Table1,Varecia variegata,NA,9455,Varecia variegata,Varecia variegata,NCBI
Baron_etal_1987_Table1,Alouatta seniculus,NA,9503,Alouatta seniculus,Alouatta seniculus,NCBI
Baron_etal_1987_Table1,Aotus trivirgatus,NA,9505,Aotus trivirgatus,Aotus trivirgatus,NCBI
